code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-the tenant-0001,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0002,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0003,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0004,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0005,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0006,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0007,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0008,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0009,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0010,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0011,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0012,1,Damoda Drone Base Battery,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-the tenant-0013,1,Drone Anemometer,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-the tenant-0014,1,Drone Anemometer,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-the tenant-0015,1,Drone Anemometer,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-the tenant-0016,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0017,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0018,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0019,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0020,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0021,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0022,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0023,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0024,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-the tenant-0025,1,Damoda Adapter for Drone AP,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
