"id","code_prefix_start","code_prefix_end","name"
"id_coa_10d_group_1","1","1","Assets"
"id_coa_10d_group_2","2","2","Liabilities"
"id_coa_10d_group_3","3","3","Equity"
"id_coa_10d_group_5","5","5","Net Sales"
"id_coa_10d_group_6","6","6","Cost Of Goods Sold"
"id_coa_10d_group_7","7","7","Operating Expenses"
"id_coa_10d_group_8","8","8","Income Tax Benefit (Expense)"
"id_coa_10d_group_11","11","11","Current Assets"
"id_coa_10d_group_12","12","12","Non Current Assets"
"id_coa_10d_group_21","21","21","Current Liabilities"
"id_coa_10d_group_22","22","22","Non Current Liabilities"
"id_coa_10d_group_51","51","51","Gross Sales"
"id_coa_10d_group_52","52","52","Sales Discount"
"id_coa_10d_group_53","53","53","Sales Return"
"id_coa_10d_group_54","54","54","Sales Loyalitas Pelanggan"
"id_coa_10d_group_61","61","61","Hpp Gross"
"id_coa_10d_group_62","62","62","Rebate"
"id_coa_10d_group_65","65","65","Inklaring, Inspection & Handling Fee"
"id_coa_10d_group_66","66","66","Insurance"
"id_coa_10d_group_69","69","69","Hpp Variance"
"id_coa_10d_group_71","71","71","Selling And Distribution Expenses"
"id_coa_10d_group_72","72","72","General And Administrative Expenses"
"id_coa_10d_group_76","76","76","Other Operating Income"
"id_coa_10d_group_77","77","77","Other Operating Expenses"
"id_coa_10d_group_78","78","78","Finance Income"
"id_coa_10d_group_79","79","79","Finance Costs"
"id_coa_10d_group_81","81","81","Current"
"id_coa_10d_group_82","82","82","Deferred"
"id_coa_10d_group_83","83","83","Other Comprehensive Income"
